Name,Source type,Genre,Production method,Is part of a franchise?,Production budget (in USD),Month,Year,Release day revenue,Number of theaters on release day,Tomatometer,Metacritic
Bad Boys II,Original Screenplay,Action,Live Action,True,130000000,7,2003,16883057,3186,0.22,0.38
Rio 2,Original Screenplay,Adventure,Digital Animation,True,130000000,4,2014,12007367,3948,0.47,0.49
Salt,Original Screenplay,Thriller/Suspense,Live Action,True,130000000,7,2010,12532333,3612,-1,0.65
Noah,Based on Religious Text,Drama,Live Action,True,130000000,3,2014,15183234,3567,0.76,0.68
The Adventures of Tintin,Based on Comic/Graphic Novel,Adventure,Digital Animation,True,130000000,12,2011,2302020,3087,0.73,0.68
After Earth,Original Screenplay,Action,Live Action,False,130000000,5,2013,9840651,3401,0.11,0.33
Australia,Original Screenplay,Drama,Live Action,False,130000000,11,2008,2268558,2617,0.55,0.53
R.I.P.D.,Based on Comic/Graphic Novel,Action,Live Action,False,130000000,7,2013,4819880,2852,0.13,0.25
How to Train Your Dragon: The Hidden World,Original Screenplay,Adventure,Digital Animation,True,129000000,2,2019,17376690,4259,0.9,0.71
"The Twilight Saga: Breaking Dawn, Part 1",Based on Fiction Book/Short Story,Drama,Live Action,True,127500000,11,2011,71642526,4061,0.25,-1
Dinosaur,Original Screenplay,Adventure,Digital Animation,False,127500000,5,2000,11255000,3257,-1,0.56
Night at the Museum: Secret of the Tomb,Original Screenplay,Adventure,Animation/Live Action,True,127000000,12,2014,5655945,3785,0.48,0.47
Harry Potter and the Deathly Hallows: Part II,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,True,125000000,7,2011,91071119,4375,0.96,-1
The Hunger Games: Mockingjay - Part 1,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,True,125000000,11,2014,55139942,4151,-1,0.64
Harry Potter and the Sorcererâs Stone,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,True,125000000,11,2001,32333203,3672,0.81,0.64
Harry Potter and the Deathly Hallows: Part I,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,True,125000000,11,2010,61684550,4125,0.77,0.65
The Da Vinci Code,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,True,125000000,5,2006,28630324,3735,-1,0.46
X-Men 2,Based on Comic/Graphic Novel,Action,Live Action,True,125000000,5,2003,31247979,3741,-1,-1
Fast Five,Based on Factual Book/Article,Action,Live Action,True,125000000,4,2011,34399360,3644,0.77,0.66
Teenage Mutant Ninja Turtles,Based on Comic/Graphic Novel,Adventure,Animation/Live Action,True,125000000,8,2014,25602161,3845,0.34,0.31
Sherlock Holmes: A Game of Shadows,Based on Fiction Book/Short Story,Action,Live Action,True,125000000,12,2011,14607982,3703,0.6,0.48
The Day After Tomorrow,Based on Fiction Book/Short Story,Adventure,Live Action,False,125000000,5,2004,24700000,3425,-1,0.47
The Boss Baby,Based on Fiction Book/Short Story,Adventure,Digital Animation,True,125000000,3,2017,15621148,3773,0.52,0.5
Clash of the Titans,Remake,Action,Live Action,True,125000000,4,2010,2655005,3777,0.68,0.39
Trolls,Based on Toy,Adventure,Digital Animation,True,125000000,11,2016,12373296,4060,0.75,0.56
Godzilla,Remake,Action,Live Action,True,125000000,5,1998,4088785,0,0.16,0.78
Prometheus,Original Screenplay,Adventure,Live Action,True,125000000,6,2012,21466267,3396,-1,0.64
The Bourne Legacy,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,True,125000000,8,2012,13931400,3745,0.56,0.61
Batman & Robin,Original Screenplay,Action,Live Action,True,125000000,6,1997,16115353,2934,-1,-1
Skyscraper,Original Screenplay,Action,Live Action,True,125000000,7,2018,9248305,3782,-1,0.51
Total Recall,Based on Fiction Book/Short Story,Action,Live Action,False,125000000,8,2012,9092341,3601,0.82,0.57
Assassinâs Creed,Based on Game,Action,Live Action,True,125000000,12,2016,4623401,2902,0.18,0.36
Monster Trucks,Original Screenplay,Adventure,Animation/Live Action,False,125000000,1,2017,2595731,3119,-1,0.41
The 13th Warrior,Based on Fiction Book/Short Story,Action,Live Action,False,125000000,8,1999,3381000,2306,-1,0.42
How the Grinch Stole Christmas,Based on Fiction Book/Short Story,Adventure,Live Action,False,123000000,11,2000,15200440,3127,0.51,0.46
Mission: Impossible 2,Based on TV,Action,Live Action,True,120000000,5,2000,12516528,3653,0.57,-1
The Perfect Storm,Based on Factual Book/Article,Drama,Live Action,False,120000000,6,2000,13240000,3407,0.47,0.59
Jason Bourne,Based on Fiction Book/Short Story,Action,Live Action,True,120000000,7,2016,22611225,4026,0.55,0.58
Fantastic Four: Rise of the Silver Surfer,Based on Comic/Graphic Novel,Action,Live Action,True,120000000,6,2007,21990579,3959,-1,0.45
Life of Pi,Based on Fiction Book/Short Story,Drama,Live Action,True,120000000,11,2012,3645051,2902,0.86,0.79
Ghost Rider,Based on Comic/Graphic Novel,Action,Live Action,True,120000000,2,2007,15420123,3619,0.27,0.35
Rampage,Based on Game,Action,Live Action,True,120000000,4,2018,11543321,4101,-1,0.45
Charlie's Angels: Full Throttle,Based on TV,Action,Live Action,True,120000000,6,2003,14611667,3459,0.42,0.48
Elysium,Original Screenplay,Action,Live Action,False,120000000,8,2013,11088228,3284,-1,0.61
Oblivion,Based on Comic/Graphic Novel,Thriller/Suspense,Live Action,False,120000000,4,2013,13297245,3783,-1,0.54
Power Rangers,Based on TV,Action,Live Action,True,120000000,3,2017,14921144,3693,-1,0.44
Stuart Little 2,Based on Fiction Book/Short Story,Adventure,Live Action,True,120000000,7,2002,5314000,3255,0.81,0.66
RoboCop,Remake,Action,Live Action,True,120000000,2,2014,2808698,3372,0.49,0.67
The Chronicles of Riddick,Original Screenplay,Adventure,Live Action,True,120000000,6,2004,9900000,2759,-1,0.38
Fantastic Four,Based on Comic/Graphic Novel,Action,Live Action,True,120000000,8,2015,11282868,3995,0.27,0.4
Speed Racer,Based on TV,Action,Live Action,False,120000000,5,2008,6192227,3606,0.4,0.37
The Island,Original Screenplay,Action,Live Action,False,120000000,7,2005,4202195,3122,-1,0.5
How Do You Know?,Original Screenplay,Romantic Comedy,Live Action,False,120000000,12,2010,2572546,2483,0.32,0.46
Knight and Day,Original Screenplay,Action,Live Action,False,117000000,6,2010,3810649,3043,0.52,0.46
Venom,Spin-Off,Action,Animation/Live Action,True,116000000,10,2018,32503530,4250,-1,0.25
Star Wars Ep. I: The Phantom Menace,Original Screenplay,Adventure,Animation/Live Action,True,115000000,5,1999,28542349,2970,-1,-1
Star Wars Ep. III: Revenge of the Sith,Original Screenplay,Adventure,Animation/Live Action,True,115000000,5,2005,50013859,3661,-1,-1
Star Wars Ep. II: Attack of the Clones,Original Screenplay,Adventure,Animation/Live Action,True,115000000,5,2002,30141417,3161,-1,-1
"Monsters, Inc.",Original Screenplay,Adventure,Digital Animation,True,115000000,11,2001,17390000,3237,0.96,0.78
The Wolverine,Based on Comic/Graphic Novel,Action,Live Action,True,115000000,7,2013,20655772,3924,-1,0.61
Dante's Peak,Original Screenplay,Drama,Live Action,False,115000000,2,1997,22608830,2657,0.24,0.43
The Huntsman: Winterâs War,Based on Folk Tale/Legend/Fairytale,Action,Live Action,True,115000000,4,2016,7271320,3791,0.18,0.35
Windtalkers,Original Screenplay,Action,Live Action,False,115000000,6,2002,4400000,2898,0.32,0.51
AstÃ©rix aux Jeux Olympiques,Based on Comic/Graphic Novel,Adventure,Live Action,True,113500000,7,2008,275637,63,-1,-1
Gulliver's Travels,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,False,112000000,12,2010,3428531,2546,-1,0.33
Ferdinand,Based on Fiction Book/Short Story,Adventure,Digital Animation,True,111000000,12,2017,3627780,3621,0.72,0.58
Deadpool 2,Based on Comic/Graphic Novel,Action,Live Action,True,110000000,5,2018,53034421,4349,0.83,0.66
Gravity,Original Screenplay,Thriller/Suspense,Live Action,True,110000000,10,2013,17484818,3575,-1,0.96
Night at the Museum,Based on Fiction Book/Short Story,Adventure,Live Action,True,110000000,12,2006,12134015,3685,0.43,0.48
Mr. and Mrs. Smith,Original Screenplay,Action,Live Action,False,110000000,6,2005,17474908,3424,0.59,-1
San Andreas,Original Screenplay,Adventure,Live Action,True,110000000,5,2015,18148048,3777,0.51,0.43
The Smurfs,Based on Comic/Graphic Novel,Adventure,Animation/Live Action,True,110000000,7,2011,13260814,3395,0.22,0.3
Live Free or Die Hard,Based on Fiction Book/Short Story,Action,Live Action,True,110000000,6,2007,9111638,3172,0.82,0.69
The Divergent Series: Insurgent,Based on Fiction Book/Short Story,Action,Live Action,True,110000000,3,2015,21146942,3875,0.28,0.42
Ocean's Twelve,Original Screenplay,Adventure,Live Action,True,110000000,12,2004,14500000,3290,0.55,0.58
Tomorrow Never Dies,Based on Fiction Book/Short Story,Action,Live Action,True,110000000,12,1997,8570000,2807,0.58,0.52
The Patriot,Original Screenplay,Drama,Live Action,False,110000000,6,2000,5015267,3061,-1,0.63
300: Rise of an Empire,Based on Comic/Graphic Novel,Action,Animation/Live Action,True,110000000,3,2014,17454309,3470,-1,-1
The Aviator,Based on Real Life Events,Drama,Live Action,False,110000000,12,2004,250000,40,-1,0.77
Passengers,Original Screenplay,Thriller/Suspense,Live Action,False,110000000,12,2016,4106572,3478,-1,0.4
The Green Hornet,Based on TV,Action,Live Action,False,110000000,1,2011,11096425,3584,-1,0.39
Miss Peregrineâs Home for Peculiar Children,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,False,110000000,9,2016,9041770,3523,0.65,0.57
Real Steel,Based on Fiction Book/Short Story,Action,Live Action,False,110000000,10,2011,8533690,3440,0.6,0.56
The A-Team,Based on TV,Action,Live Action,False,110000000,6,2010,9660560,3535,-1,0.47
The Smurfs 2,Based on Comic/Graphic Novel,Adventure,Animation/Live Action,True,110000000,7,2013,5203980,3866,0.14,0.34
The Divergent Series: Allegiant,Based on Fiction Book/Short Story,Action,Live Action,True,110000000,3,2016,11935887,3740,0.11,0.33
The Taking of Pelham 123,Remake,Action,Live Action,False,110000000,6,2009,8234347,3074,-1,-1
Ender's Game,Based on Fiction Book/Short Story,Adventure,Live Action,True,110000000,11,2013,9825482,3407,0.61,0.51
Home on the Range,Original Screenplay,Adventure,Hand Animation,False,110000000,4,2004,4030000,3047,0.53,0.5
Speed 2: Cruise Control,Original Screenplay,Action,Live Action,True,110000000,6,1997,2260207,2625,0.04,0.23
Kingdom of Heaven,Original Screenplay,Adventure,Live Action,False,110000000,5,2005,7147738,3216,0.39,0.63
Ghost in the Shell,Based on Comic/Graphic Novel,Action,Live Action,True,110000000,3,2017,7660626,3440,0.96,0.76
Around the World in 80 Days,Remake,Adventure,Live Action,True,110000000,6,2004,1426000,2612,-1,-1
The Lord of the Rings: The Fellowship of the Ring,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,True,109000000,12,2001,18214211,3359,0.91,0.92
The Cat in the Hat,Based on Fiction Book/Short Story,Adventure,Live Action,False,109000000,11,2003,11200000,3464,-1,0.19
Ali,Based on Real Life Events,Drama,Live Action,False,109000000,12,2001,10216625,2446,0.67,0.65
The Martian,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,True,108000000,10,2015,18145681,3831,0.91,0.8
Allied,Original Screenplay,Drama,Live Action,True,106000000,11,2016,2702288,3160,0.61,0.6
"I, Robot",Based on Fiction Book/Short Story,Action,Animation/Live Action,False,105000000,7,2004,17800000,3420,0.56,0.59
Stuart Little,Based on Fiction Book/Short Story,Adventure,Live Action,True,105000000,12,1999,3688000,2878,0.67,0.61
The Princess and the Frog,Based on Fiction Book/Short Story,Adventure,Hand Animation,False,105000000,11,2009,276860,2,-1,0.73
"10,000 B.C.",Original Screenplay,Adventure,Live Action,False,105000000,3,2008,12506898,3410,-1,-1
Ice Age: Collision Course,Original Screenplay,Adventure,Digital Animation,True,105000000,7,2016,7919094,3992,0.17,0.34
Town & Country,Original Screenplay,Romantic Comedy,Live Action,False,105000000,4,2001,994000,2222,-1,-1
Kingsman: The Golden Circle,Based on Comic/Graphic Novel,Action,Live Action,True,104000000,9,2017,15273268,4003,0.53,0.44
Gone in 60 Seconds,Remake,Action,Live Action,False,103300000,6,2000,9311978,3006,-1,-1
Gladiator,Original Screenplay,Action,Live Action,False,103000000,5,2000,11683107,2781,0.76,0.67
The Hangover 3,Original Screenplay,Comedy,Live Action,True,103000000,5,2013,11789463,3555,-1,-1
A Wrinkle in Time,Based on Fiction Book/Short Story,Adventure,Live Action,False,103000000,3,2018,10208602,3980,-1,0.53
Public Enemies,Based on Fiction Book/Short Story,Drama,Live Action,False,102500000,7,2009,8165025,3319,-1,0.7
Casino Royale,Based on Fiction Book/Short Story,Action,Live Action,True,102000000,11,2006,14741135,3434,0.94,0.8
Minority Report,Based on Fiction Book/Short Story,Action,Live Action,False,102000000,6,2002,11346000,3001,0.91,0.8
Bumblebee,Based on Toy,Adventure,Live Action,True,102000000,12,2018,8501129,3550,0.93,0.66
Cloud Atlas,Based on Fiction Book/Short Story,Drama,Live Action,True,102000000,10,2012,3402211,2008,0.67,0.55
Harry Potter and the Chamber of Secrets,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,True,100000000,11,2002,29631453,3682,0.82,0.63
Terminator 2: Judgment Day,Original Screenplay,Action,Animation/Live Action,True,100000000,7,1991,2400000,2274,0.93,0.75
Batman Forever,Original Screenplay,Action,Live Action,True,100000000,6,1995,20046461,2842,0.39,0.51
Planet of the Apes,Remake,Adventure,Live Action,True,100000000,7,2001,25061500,3494,-1,0.5
National Treasure,Original Screenplay,Adventure,Live Action,True,100000000,11,2004,11000000,3017,0.45,0.39
Django Unchained,Original Screenplay,Western,Live Action,False,100000000,12,2012,15011121,3010,0.86,0.81
Little Fockers,Original Screenplay,Comedy,Live Action,True,100000000,12,2010,7142775,3536,0.09,0.27
True Lies,Remake,Action,Live Action,False,100000000,7,1994,40834885,2369,0.71,0.63
American Gangster,Based on Factual Book/Article,Drama,Live Action,False,100000000,11,2007,15865355,3054,0.8,0.76
Cloudy with a Chance of Meatballs,Based on Fiction Book/Short Story,Adventure,Digital Animation,True,100000000,9,2009,8137358,3119,-1,0.66
The Other Guys,Original Screenplay,Comedy,Live Action,False,100000000,8,2010,13124233,3651,-1,0.64
Lemony Snicket's A Series of Unfortunate Events,Based on Fiction Book/Short Story,Adventure,Live Action,False,100000000,12,2004,10500000,3620,-1,0.62
The Wolf of Wall Street,Based on Factual Book/Article,Black Comedy,Live Action,False,100000000,12,2013,9150379,2537,-1,0.75
Epic,Based on Fiction Book/Short Story,Adventure,Digital Animation,True,100000000,5,2013,9348014,3882,-1,-1
Eraser,Original Screenplay,Action,Live Action,False,100000000,6,1996,36423776,2410,0.35,0.56
The Hunchback of Notre Dame,Based on Fiction Book/Short Story,Adventure,Hand Animation,True,100000000,6,1996,32795950,2778,-1,0.74
The Emperor's New Groove,Original Screenplay,Adventure,Hand Animation,False,100000000,12,2000,2291000,2801,-1,0.7
The Expendables 2,Original Screenplay,Action,Live Action,True,100000000,8,2012,10494145,3316,0.67,0.51
Where the Wild Things Are,Based on Fiction Book/Short Story,Adventure,Live Action,False,100000000,10,2009,12077282,3735,0.72,0.71
Eragon,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,False,100000000,12,2006,8742232,3020,0.16,0.38
Hercules,Based on Folk Tale/Legend/Fairytale,Action,Live Action,True,100000000,7,2014,11058454,3595,0.83,0.47
The Tourist,Original Screenplay,Thriller/Suspense,Live Action,False,100000000,12,2010,6033091,2756,-1,0.37
End of Days,Original Screenplay,Action,Live Action,False,100000000,11,1999,5177000,2514,0.11,0.33
The Stepford Wives,Remake,Comedy,Live Action,False,100000000,6,2004,8100000,3057,-1,0.42
Surf's Up,Original Screenplay,Adventure,Digital Animation,False,100000000,6,2007,5804772,3528,0.79,0.64
Blood Diamond,Original Screenplay,Action,Live Action,False,100000000,12,2006,2647260,1910,0.63,0.64
Legend of the Guardians: The Owls of Ga'Hoole,Based on Fiction Book/Short Story,Adventure,Digital Animation,False,100000000,9,2010,4519426,3575,-1,0.53
Starship Troopers,Based on Fiction Book/Short Story,Action,Animation/Live Action,True,100000000,11,1997,8185000,2971,0.62,0.51
Land of the Lost,Based on TV,Comedy,Live Action,False,100000000,6,2009,7130025,3521,-1,0.32
Peter Pan,Based on Fiction Book/Short Story,Adventure,Live Action,True,100000000,12,2003,3671000,2813,-1,0.64
Wonder Park,Original Screenplay,Adventure,Digital Animation,True,100000000,3,2019,5330263,3838,0.3,0.46
Catwoman,Based on Comic/Graphic Novel,Action,Live Action,False,100000000,7,2004,6300000,3117,0.09,0.27
The Expendables 3,Original Screenplay,Action,Live Action,True,100000000,8,2014,5950169,3221,0.32,0.35
Treasure Planet,Based on Fiction Book/Short Story,Adventure,Hand Animation,False,100000000,11,2002,2361000,3227,0.69,0.6
Green Zone,Based on Factual Book/Article,Drama,Live Action,False,100000000,3,2010,5045040,3003,-1,0.63
Geostorm,Original Screenplay,Action,Live Action,True,100000000,10,2017,4304551,3246,0.14,0.21
Point Break,Remake,Action,Live Action,True,100000000,12,2015,4143201,2910,0.68,0.34
In the Heart of the Sea,Based on Real Life Events,Adventure,Live Action,True,100000000,12,2015,3849684,3103,0.43,0.47
Transcendence,Original Screenplay,Thriller/Suspense,Live Action,False,100000000,4,2014,4813369,3455,-1,0.42
Son of the Mask,Based on Comic/Graphic Novel,Adventure,Live Action,True,100000000,2,2005,2000000,2966,0.06,0.2
